"county","yyyymm","su_daytime","su_nighttime","win_daytime","win_nighttime"
"36045","2004","1.4670043","0.4325834","0.288443","0.7243877"
"36045","2005","1.4948863","0.562099","0.0235971","0.0864531"
"36045","2006","1.3524076","0.4520043","1.0332346","0.1757117"
"36045","2007","1.2876911","0.5260946","0.1313373","0.3557038"
"36045","2008","1.3867336","0.5460404","-0.0577164","0.493377"
"36045","2009","1.3887367","0.3079015","-0.165945","-0.1221268"
"36045","2010","1.4396278","0.5251686","-0.3534504","0.1865328"
"36045","2011","1.45788","0.3524645","-0.1018164","0.8982023"
"36045","2012","1.3773916","0.546541","0.4872943","0.4047157"
"36045","2013","1.365211","0.2011869","0.5138511","-0.0683392"
"36045","2014","1.4631803","0.4930726","0.1939989","0.9405118"
"36045","2015","1.3556541","0.4559327","0.3463096","0.3052853"
"36045","2016","1.2724342","0.6409565","-0.2991607","0.3754412"
"36045","2017","1.3475429","0.2819974","0.3178566","0.2400775"
"36045","2018","1.4468066","0.5536118","0.3161608","0.7721102"
"36065","2003","2.4873137","0.4707303","-0.1435982","1.0392393"
"36065","2004","2.6113233","0.3111967","0.2436445","0.9969559"
"36065","2005","2.5769897","0.7662442","0.272195","0.3933372"
"36065","2006","2.6866944","0.6942821","0.4787139","0.5159047"
"36065","2007","2.7420044","0.5364253","-0.0559414","0.3801602"
"36065","2008","2.5860795","0.6863508","0.9037689","1.0797063"
"36065","2009","2.4945084","0.375991","-0.1873694","1.3185638"
"36065","2010","2.7837822","0.7397338","-0.6176861","0.4982596"
"36065","2011","2.8486706","0.5772866","0.1330365","0.6695114"
"36065","2012","2.90427","0.6980303","0.8834893","-0.008089"
"36065","2013","2.4126098","0.3638345","0.3678207","0.7824195"
"36065","2014","2.5450896","0.4524151","-0.0079941","0.5712863"
"36065","2015","2.5954428","0.4213711","-0.3252081","0.9384172"
"36065","2016","2.7070738","0.7396525","0.5005421","-0.013395"
"36065","2017","2.7345065","0.2920571","0.5268698","0.8400414"
"36065","2018","2.8509274","0.6502754","-0.0168822","0.4194255"
"36081","2003","5.016435","1.8214263","0.9949974","0.0488375"
"36081","2004","4.7847392","1.6546926","1.6796745","-0.0898299"
"36081","2005","4.8254869","1.9412398","1.7407144","-0.3214959"
"36081","2006","5.0071363","2.2469872","1.068642","-0.0770262"
"36081","2007","4.9232058","1.3572695","0.9749478","-0.4262138"
"36081","2008","4.8810379","1.9353448","0.9298835","0.0703623"
"36081","2009","4.7891582","1.3250333","0.9481755","-0.3304526"
"36081","2010","4.861049","1.9632063","1.2201613","-0.4431994"
"36081","2011","4.8477224","1.817799","1.7213523","0.0622794"
"36081","2012","5.1780715","2.137272","1.0195265","0.3429572"
"36081","2013","4.8016755","1.3596631","0.9770808","-0.359092"
"36081","2014","4.8536158","1.4126008","1.1570085","0.0244583"
"36081","2015","4.7638323","1.7694356","1.065317","-0.4149604"
"36081","2016","4.6154422","1.9841648","1.0248621","0.3606034"
"36081","2017","4.8113537","1.5334441","0.7807575","-0.0944052"
"36081","2018","4.9867253","1.7089967","1.0007603","0.0499722"
"36091","2003","1.4766534","0.5432793","0.6410968","0.5694038"
