"","county_fips","county","state","start.year","end.year","stroke","age"
"374",1089,"Madison","Alabama",2006,2008,"21.50","45-64"
"375",1089,"Madison","Alabama",2008,2010,"21.10","45-64"
"376",1089,"Madison","Alabama",2009,2011,"296.40",">= 65"
"377",1089,"Madison","Alabama",2016,2018,"321.70",">= 65"
"378",1089,"Madison","Alabama",2013,2015,"276.90",">= 65"
"379",1089,"Madison","Alabama",2016,2018,"19.50","45-64"
"380",1089,"Madison","Alabama",2015,2017,"303.20",">= 65"
"381",1089,"Madison","Alabama",2008,2010,"302.90",">= 65"
"382",1089,"Madison","Alabama",2009,2011,"23.50","45-64"
"383",1089,"Madison","Alabama",2010,2012,"286.40",">= 65"
"384",1089,"Madison","Alabama",2010,2012,"26.40","45-64"
"385",1089,"Madison","Alabama",2015,2017,"25.20","45-64"
"386",1089,"Madison","Alabama",2005,2007,"24.50","45-64"
"387",1089,"Madison","Alabama",2011,2013,"271.40",">= 65"
"388",1089,"Madison","Alabama",2017,2019,"320.40",">= 65"
"389",1089,"Madison","Alabama",2011,2013,"26.30","45-64"
"390",1089,"Madison","Alabama",2012,2014,"26.20","45-64"
"391",1089,"Madison","Alabama",2013,2015,"26.90","45-64"
"392",1089,"Madison","Alabama",2006,2008,"302.30",">= 65"
"393",1089,"Madison","Alabama",2017,2019,"23.30","45-64"
"394",1089,"Madison","Alabama",2007,2009,"297.90",">= 65"
"395",1089,"Madison","Alabama",2005,2007,"332.30",">= 65"
"396",1089,"Madison","Alabama",2014,2016,"28.90","45-64"
"397",1089,"Madison","Alabama",2012,2014,"263.90",">= 65"
"398",1089,"Madison","Alabama",2014,2016,"282.20",">= 65"
"399",1089,"Madison","Alabama",2007,2009,"17.50","45-64"
"400",1089,"Madison","Alabama",2006,2008,"21.50","45-64"
"401",1089,"Madison","Alabama",2008,2010,"21.10","45-64"
"402",1089,"Madison","Alabama",2009,2011,"296.40",">= 65"
"403",1089,"Madison","Alabama",2016,2018,"321.70",">= 65"
"404",1089,"Madison","Alabama",2013,2015,"276.90",">= 65"
"405",1089,"Madison","Alabama",2016,2018,"19.50","45-64"
"406",1089,"Madison","Alabama",2015,2017,"303.20",">= 65"
"407",1089,"Madison","Alabama",2008,2010,"302.90",">= 65"
"408",1089,"Madison","Alabama",2009,2011,"23.50","45-64"
"409",1089,"Madison","Alabama",2010,2012,"286.40",">= 65"
"410",1089,"Madison","Alabama",2010,2012,"26.40","45-64"
